time,open,high,low,close
09:30,7595.4,7595.4,7583.7,7591.64
09:35,7591.78,7592.53,7585.88,7586.05
09:40,7586.14,7589.86,7582.99,7589.59
09:45,7589.76,7594.37,7589.76,7594.07
09:50,7594.02,7595.28,7591.63,7592.47
09:55,7592.59,7594.46,7590.29,7593.06
10:00,7593.7,7595.31,7590.08,7595.31
10:05,7595.41,7597.26,7593.82,7596.88
10:10,7596.63,7601.21,7595.74,7599.15
10:15,7598.87,7600.97,7596.86,7600.22
10:20,7600.31,7602.24,7596.32,7598.28
10:25,7598.06,7599.01,7592.57,7594.57
10:30,7594.44,7602.98,7594.14,7602.64
10:35,7602.68,7605.26,7601.81,7602.41
10:40,7602.42,7606.56,7600.84,7605.95
10:45,7606.18,7610.01,7605.17,7610.01
10:50,7609.82,7613.18,7608.98,7613.07
10:55,7613.0,7614.41,7611.02,7614.22
11:00,7614.51,7615.14,7610.42,7610.94
11:05,7611.11,7618.39,7610.29,7618.02
11:10,7618.12,7619.07,7614.97,7616.73
11:15,7617.14,7619.02,7616.77,7618.66
11:20,7618.59,7620.9,7617.31,7618.77
11:25,7618.7,7619.54,7615.12,7615.93
11:30,7615.84,7615.9,7613.48,7615.09
11:35,7614.73,7617.27,7614.08,7614.7
11:40,7614.68,7615.16,7613.06,7613.96
11:45,7613.94,7616.29,7612.5,7613.7
11:50,7613.83,7615.42,7612.84,7613.94
11:55,7614.09,7615.53,7612.89,7613.98
12:00,7613.68,7614.48,7610.85,7612.44
12:05,7612.39,7615.3,7612.25,7613.85
12:10,7614.04,7617.4,7613.58,7615.71
12:15,7615.91,7615.91,7611.96,7612.05
12:20,7612.1,7612.86,7609.27,7612.35
12:25,7612.25,7612.53,7609.41,7610.65
12:30,7610.52,7612.72,7609.21,7609.42
12:35,7609.35,7609.83,7607.77,7609.08
12:40,7609.05,7611.05,7609.02,7610.04
12:45,7609.95,7613.71,7609.09,7613.57
12:50,7613.36,7615.49,7612.75,7613.49
12:55,7613.51,7616.36,7612.92,7615.71
13:00,7615.69,7616.57,7613.79,7616.09
13:05,7616.18,7616.76,7613.63,7614.89
13:10,7614.73,7615.58,7612.93,7615.5
13:15,7615.39,7615.52,7608.98,7609.26
13:20,7609.42,7611.06,7607.18,7607.67
13:25,7607.67,7607.74,7605.17,7606.28
13:30,7606.19,7609.07,7605.73,7606.83
13:35,7606.57,7607.2,7603.99,7604.57
13:40,7604.57,7608.4,7604.23,7607.16
13:45,7607.06,7608.94,7606.38,7608.47
13:50,7608.43,7609.4,7607.2,7607.5
13:55,7607.43,7607.43,7604.67,7604.91
14:00,7604.95,7606.44,7603.98,7605.12
14:05,7604.88,7608.36,7604.79,7607.71
14:10,7607.75,7609.32,7606.64,7606.89
14:15,7606.94,7607.18,7604.9,7605.61
14:20,7605.81,7606.97,7604.8,7605.87
14:25,7605.86,7607.03,7604.75,7606.32
14:30,7606.11,7608.63,7605.71,7606.59
14:35,7606.46,7606.46,7603.16,7603.33
14:40,7603.32,7604.93,7602.44,7604.85
14:45,7604.51,7606.33,7603.71,7605.92
14:50,7605.94,7606.75,7604.36,7605.8
14:55,7605.89,7607.9,7605.15,7606.57
15:00,7606.56,7610.51,7606.53,7610.18
15:05,7610.23,7610.47,7608.51,7610.07
15:10,7609.79,7611.17,7608.31,7608.46
15:15,7608.51,7610.14,7608.3,7609.83
15:20,7609.75,7612.2,7609.26,7612.06
15:25,7612.06,7612.27,7609.32,7609.63
15:30,7609.62,7611.53,7609.44,7611.01
15:35,7611.0,7611.57,7609.24,7609.59
15:40,7609.58,7610.4,7608.06,7608.33
15:45,7608.25,7611.19,7607.81,7610.68
15:50,7610.66,7613.58,7610.35,7612.03
15:55,7611.97,7612.48,7609.93,7610.51
