time,open,high,low,close
09:30,7601.25,7608.77,7601.25,7603.81
09:35,7603.72,7605.12,7598.09,7598.41
09:40,7598.63,7602.33,7597.61,7598.84
09:45,7598.81,7609.95,7598.46,7609.7
09:50,7609.71,7614.97,7609.71,7613.39
09:55,7613.32,7614.91,7611.02,7614.04
10:00,7613.8,7614.74,7608.32,7608.74
10:05,7608.86,7609.59,7605.54,7608.25
10:10,7608.51,7609.18,7602.58,7606.48
10:15,7606.67,7608.14,7604.52,7604.66
10:20,7604.6,7604.85,7601.04,7601.1
10:25,7601.1,7601.47,7598.81,7600.65
10:30,7600.67,7602.8,7599.42,7602.59
10:35,7602.61,7605.8,7600.36,7604.55
10:40,7604.63,7609.78,7604.48,7609.78
10:45,7609.88,7610.52,7607.46,7607.46
10:50,7607.29,7609.69,7607.2,7608.12
10:55,7608.15,7613.1,7608.15,7612.93
11:00,7613.21,7616.69,7612.55,7616.17
11:05,7616.2,7620.9,7613.97,7620.36
11:10,7620.46,7620.8,7616.08,7618.61
11:15,7618.75,7619.08,7614.81,7617.14
11:20,7617.02,7617.07,7614.84,7616.53
11:25,7616.52,7619.02,7614.32,7615.04
11:30,7615.18,7615.86,7611.41,7612.89
11:35,7612.74,7616.39,7612.65,7615.11
11:40,7615.16,7617.16,7614.68,7616.77
11:45,7616.92,7626.79,7616.29,7621.74
11:50,7621.94,7622.18,7618.36,7619.66
11:55,7619.4,7619.83,7618.25,7618.28
12:00,7619.06,7619.06,7614.62,7614.66
12:05,7614.72,7616.08,7614.35,7615.86
12:10,7615.87,7616.14,7613.19,7614.61
12:15,7614.77,7615.87,7614.2,7614.38
12:20,7614.25,7614.25,7610.65,7611.52
12:25,7611.58,7612.83,7610.36,7612.74
12:30,7612.69,7613.2,7608.09,7608.24
12:35,7608.23,7610.51,7608.23,7610.3
12:40,7610.31,7611.4,7609.53,7610.39
12:45,7610.36,7612.79,7610.36,7612.07
12:50,7612.15,7612.38,7608.57,7609.83
12:55,7609.85,7610.96,7609.31,7609.31
13:00,7609.28,7609.34,7604.11,7605.28
13:05,7605.23,7606.74,7605.22,7606.74
13:10,7606.72,7609.06,7605.56,7608.52
13:15,7608.49,7609.32,7607.99,7608.64
13:20,7608.55,7610.16,7606.87,7607.63
13:25,7607.69,7610.52,7607.59,7610.38
13:30,7610.4,7611.61,7608.19,7609.19
13:35,7609.13,7609.86,7607.43,7607.48
13:40,7607.29,7607.33,7603.93,7604.15
13:45,7604.1,7608.49,7604.1,7606.29
13:50,7606.3,7609.09,7605.77,7608.32
13:55,7608.33,7613.58,7607.86,7613.32
14:00,7613.91,7618.37,7598.77,7613.3
14:05,7613.41,7622.77,7613.32,7617.78
14:10,7617.96,7619.04,7610.16,7611.1
14:15,7611.05,7613.53,7608.35,7611.68
14:20,7611.52,7613.56,7608.39,7610.2
14:25,7610.22,7610.91,7600.2,7608.67
14:30,7608.19,7609.85,7587.8,7589.07
14:35,7588.7,7591.27,7572.88,7590.0
14:40,7590.03,7612.01,7589.73,7602.32
14:45,7602.37,7606.04,7586.9,7587.77
14:50,7587.56,7589.14,7563.24,7563.24
14:55,7563.23,7568.03,7549.86,7550.33
15:00,7550.35,7563.77,7549.89,7558.83
15:05,7558.75,7558.75,7541.49,7543.91
15:10,7543.45,7544.18,7523.42,7525.31
15:15,7524.99,7531.08,7516.29,7519.73
15:20,7519.82,7523.5,7512.92,7517.52
15:25,7517.42,7523.81,7507.77,7523.73
15:30,7523.18,7536.86,7522.28,7536.82
15:35,7536.68,7536.82,7526.62,7535.31
15:40,7535.36,7539.09,7529.66,7533.52
15:45,7532.93,7547.03,7532.29,7545.83
15:50,7545.78,7553.09,7545.16,7552.11
15:55,7552.11,7554.69,7549.36,7553.33
16:00,7551.81,7551.81,7551.81,7551.81
