# SPX 0DTE gamma exposure by strike — Option Alpha `a5.to.market.gex('SPX')`
# captured 2026-08-13 ~20:48 ET (post-close snapshot; spot 7798.99, prev close 7748.50)
# cg/pg = call/put gamma exposure $; total=cg+pg; abs=|cg|+|pg|; coi/poi = open interest; cvol/pvol = volume
# summary: callsum=77816567557.31 putsum=-6223408889.49 abs1=7800 abs2=7805 absscore=1.79
# NOTE gamma is non-zero only near spot — that is the 0DTE expiry gamma spike, not a data error.
# strikes below 7000 omitted (all zero gamma, negligible OI).
strike,cg,pg,total,net,abs,coi,poi,cvol,pvol,pcmag,cotm,potm
7735,0,0,0,0,0,358,1079,1169,23224,100,-0.82,0.82
7740,0,0,0,0,0,779,920,2118,30875,100,-0.76,0.76
7745,0,0,0,0,0,886,1121,2803,35703,100,-0.69,0.69
7750,0,0,0,0,0,3187,2030,7060,56531,100,-0.63,0.63
7755,0,0,0,0,0,1145,587,4946,36764,100,-0.56,0.56
7760,0,0,0,0,0,1701,442,9565,58124,100,-0.5,0.5
7765,0,0,0,0,0,800,320,10050,52856,100,-0.44,0.44
7770,0.04,-0.01,0.03,0.03,0.05,1021,214,18844,75631,4,-0.37,0.37
7775,248.5,-56.91,191.59,191.59,305.41,1607,368,23581,81769,4.37,-0.31,0.31
7780,300555.87,-13247.98,287307.89,287307.89,313803.85,2609,115,45980,122765,22.69,-0.24,0.24
7785,29978749.32,-1164050.33,28814698.99,28814698.99,31142799.65,1674,65,63517,107270,25.75,-0.18,0.18
7790,1177029540.19,-86237831.52,1090791708.67,1090791708.67,1263267371.71,2020,148,109711,151129,13.65,-0.12,0.12
7795,1866801225.96,-126135233.45,1740665992.51,1740665992.51,1992936459.41,888,60,138575,125824,14.8,-0.05,0.05
7800,70223962444.07,-5914408355.46,64309554088.61,64309554088.61,76138370799.53,6376,537,280992,142821,11.87,0.01,-0.01
7805,3504180353.52,-73258999.7,3430921353.82,3430921353.82,3577439353.22,2822,59,191046,53523,47.83,0.08,-0.08
7810,950444355.05,-20724659.62,929719695.43,929719695.43,971169014.67,1880,41,170785,30900,45.86,0.14,-0.14
7815,57848051.91,-1452945.22,56395106.69,56395106.69,59300997.13,1194,30,120783,15514,39.81,0.21,-0.21
7820,5953203.69,-9968.77,5943234.92,5943234.92,5963172.46,2984,5,119857,7801,597.19,0.27,-0.27
7825,68062.19,-3532.14,64530.05,64530.05,71594.33,1925,100,69276,4408,19.27,0.33,-0.33
7830,766.33,-8.36,757.97,757.97,774.69,2837,31,61718,2754,91.67,0.4,-0.4
7835,0.67,-0.02,0.65,0.65,0.69,749,19,46526,1115,33.5,0.46,-0.46
7840,0,0,0,0,0,1015,11,35081,1052,,0.53,-0.53
7850,0,0,0,0,0,1735,15,26028,806,,0.65,-0.65
7860,0,0,0,0,0,885,7,9336,142,,0.78,-0.78
7875,0,0,0,0,0,4495,200,8393,246,,0.97,-0.97
7885,0,0,0,0,0,6747,0,4604,428,,1.1,-1.1
7900,0,0,0,0,0,8808,11,5780,31,,1.3,-1.3
7915,0,0,0,0,0,2242,0,2699,25,,1.49,-1.49
7920,0,0,0,0,0,4441,3,2048,10,,1.55,-1.55
7925,0,0,0,0,0,6762,0,2201,,,1.62,-1.62
7950,0,0,0,0,0,3099,0,1072,,,1.94,-1.94
7975,0,0,0,0,0,6660,0,1420,,,2.26,-2.26
8000,0,0,0,0,0,7145,12,1208,14,,2.58,-2.58
8010,0,0,0,0,0,2075,0,122,,,2.71,-2.71
8025,0,0,0,0,0,5284,0,149,,,2.9,-2.9
8050,0,0,0,0,0,1470,0,91,,,3.22,-3.22
8075,0,0,0,0,0,542,0,350,,,3.54,-3.54
8100,0,0,0,0,0,824,0,1,,,3.86,-3.86
