time,open,high,low,close
09:30,7710.34,7710.34,7698.17,7706.15
09:31,7705.8,7707.85,7694.91,7695.32
09:32,7694.92,7697.4,7690.5,7696.78
09:33,7696.4,7701.6,7696.4,7697.53
09:34,7697.61,7697.99,7691.2,7693.01
09:35,7693.08,7695.71,7689.89,7695.71
09:36,7695.2,7698.04,7694.28,7696.71
09:37,7696.45,7697.44,7692.53,7694.97
09:38,7695.25,7696.07,7693.01,7695.13
09:39,7694.76,7701.12,7694.37,7700.35
09:40,7700.55,7702.86,7700.55,7700.66
09:41,7700.92,7706.12,7700.69,7701.62
09:42,7701.29,7704.22,7698.78,7704.09
09:43,7704.0,7705.45,7702.39,7704.89
09:44,7704.74,7710.57,7704.4,7710.57
09:45,7710.68,7714.54,7710.16,7714.14
09:46,7713.76,7715.07,7708.16,7708.29
09:47,7708.12,7708.38,7698.82,7700.81
09:48,7701.11,7702.31,7699.88,7700.31
09:49,7700.51,7700.71,7695.37,7697.95
09:50,7698.34,7706.23,7698.34,7706.23
09:51,7705.81,7707.53,7705.16,7707.53
09:52,7707.29,7709.87,7706.19,7709.4
09:53,7709.61,7710.97,7708.52,7710.97
09:54,7710.82,7711.89,7709.95,7710.34
09:55,7710.39,7711.03,7703.82,7707.07
09:56,7707.08,7707.08,7700.86,7700.86
09:57,7700.38,7700.38,7695.11,7695.17
09:58,7695.69,7699.58,7695.69,7699.58
09:59,7699.93,7703.14,7698.86,7702.46
10:00,7702.7,7704.68,7701.14,7703.83
10:01,7703.68,7706.37,7702.25,7705.27
10:02,7704.96,7706.04,7703.4,7704.34
10:03,7704.66,7707.45,7703.2,7707.45
10:04,7707.89,7708.19,7705.19,7706.49
10:05,7706.5,7709.46,7706.5,7708.04
10:06,7708.0,7708.7,7700.91,7700.91
10:07,7700.59,7704.55,7699.01,7704.2
10:08,7704.14,7704.32,7700.62,7701.75
10:09,7701.88,7704.02,7701.23,7702.6
10:10,7702.8,7708.05,7702.8,7707.75
10:11,7707.79,7707.91,7705.54,7706.09
10:12,7705.82,7707.11,7705.11,7706.62
10:13,7706.6,7708.06,7704.94,7708.06
10:14,7708.3,7708.43,7704.11,7705.48
10:15,7705.2,7708.8,7705.2,7708.7
10:16,7708.65,7709.24,7705.68,7705.68
10:17,7705.64,7709.76,7705.64,7709.73
10:18,7709.75,7711.86,7708.95,7711.58
10:19,7711.42,7711.72,7709.53,7709.53
10:20,7709.59,7712.41,7709.59,7712.41
10:21,7712.3,7713.43,7710.11,7710.11
10:22,7709.73,7711.51,7709.37,7710.48
10:23,7710.46,7713.33,7710.11,7710.11
10:24,7710.37,7712.64,7709.52,7712.61
10:25,7712.69,7712.88,7710.93,7712.62
10:26,7712.7,7714.1,7712.21,7714.1
10:27,7714.36,7716.89,7714.15,7715.46
