time,open,high,low,close
09:30,7418.16,7419.81,7411.06,7415.05
09:31,7415.62,7418.43,7411.51,7411.51
09:32,7411.58,7417.0,7410.66,7416.56
09:33,7416.5,7422.94,7416.13,7422.94
09:34,7423.61,7426.29,7422.54,7423.67
09:35,7423.46,7426.38,7422.87,7423.62
09:36,7423.72,7423.83,7420.7,7422.75
09:37,7422.77,7422.83,7417.46,7421.06
09:38,7421.04,7423.34,7415.61,7415.81
09:39,7415.79,7423.69,7415.6,7423.22
09:40,7423.33,7424.27,7419.2,7423.03
09:41,7423.71,7424.85,7420.73,7421.62
09:42,7421.74,7422.52,7418.92,7419.63
09:43,7419.7,7421.38,7417.4,7419.63
09:44,7419.67,7421.86,7419.67,7421.33
09:45,7421.31,7426.03,7421.31,7423.41
09:46,7423.7,7425.0,7419.75,7420.23
09:47,7420.29,7420.29,7414.39,7415.92
09:48,7416.43,7418.25,7414.25,7416.15
09:49,7416.21,7418.1,7412.85,7415.86
09:50,7416.0,7416.16,7407.28,7407.66
09:51,7407.42,7407.42,7402.64,7403.1
09:52,7402.99,7402.99,7397.89,7398.56
09:53,7398.49,7403.8,7397.45,7403.8
09:54,7403.83,7404.15,7399.82,7401.26
09:55,7401.55,7401.55,7394.05,7395.61
09:56,7395.75,7396.19,7392.64,7392.81
09:57,7392.59,7394.62,7389.65,7393.87
09:58,7394.02,7397.81,7394.02,7397.81
09:59,7397.97,7399.13,7393.83,7396.8
10:00,7397.4,7401.83,7397.4,7400.62
10:01,7399.76,7400.95,7397.94,7398.49
10:02,7398.93,7403.93,7398.87,7400.81
10:03,7401.07,7402.71,7399.07,7399.16
10:04,7398.98,7401.11,7397.77,7400.75
10:05,7400.85,7406.08,7400.85,7403.09
10:06,7402.53,7402.53,7396.52,7397.0
10:07,7396.86,7396.86,7392.05,7394.22
10:08,7394.62,7394.99,7390.86,7392.24
10:09,7392.73,7394.31,7390.69,7391.83
10:10,7391.45,7391.45,7388.72,7389.88
10:11,7390.17,7393.34,7389.74,7392.4
10:12,7392.17,7393.03,7380.6,7380.98
10:13,7380.87,7380.87,7374.25,7376.76
10:14,7376.89,7378.22,7374.98,7376.75
10:15,7377.03,7381.33,7377.03,7379.89
10:16,7380.16,7382.41,7378.8,7381.31
10:17,7381.28,7382.94,7378.62,7379.43
10:18,7379.46,7385.35,7379.46,7384.28
10:19,7384.19,7384.76,7380.93,7381.4
10:20,7381.8,7384.33,7380.22,7383.9
10:21,7383.58,7385.86,7382.31,7385.35
10:22,7385.37,7387.38,7384.5,7385.97
10:23,7386.18,7386.8,7382.65,7382.83
10:24,7383.0,7383.0,7376.53,7377.74
10:25,7377.53,7377.95,7373.1,7373.1
10:26,7371.91,7371.91,7366.24,7369.67
10:27,7369.3,7372.12,7367.0,7371.09
10:28,7371.3,7373.73,7370.9,7373.73
10:29,7373.57,7374.86,7371.92,7372.64
10:30,7372.85,7376.4,7371.87,7375.59
10:31,7375.7,7377.25,7373.85,7375.27
10:32,7375.78,7378.28,7375.1,7377.9
10:33,7378.03,7380.94,7377.27,7378.4
10:34,7378.09,7378.09,7374.24,7376.09
10:35,7376.37,7376.71,7373.05,7375.81
10:36,7376.04,7377.25,7374.68,7375.82
10:37,7375.97,7376.36,7374.1,7375.3
10:38,7375.01,7376.33,7372.33,7375.92
10:39,7376.26,7376.54,7369.8,7371.01
10:40,7370.88,7370.94,7363.66,7365.26
10:41,7365.41,7370.13,7365.22,7366.84
10:42,7366.59,7366.6,7362.94,7363.11
10:43,7362.69,7365.91,7362.4,7364.98
10:44,7364.09,7365.59,7361.46,7364.83
10:45,7365.17,7366.71,7363.6,7365.24
10:46,7365.37,7368.16,7362.96,7368.15
10:47,7367.97,7370.49,7365.77,7365.77
10:48,7365.68,7365.7,7362.29,7363.29
10:49,7363.74,7367.28,7363.54,7366.55
10:50,7366.84,7368.9,7365.86,7368.56
10:51,7368.8,7369.59,7366.39,7367.24
10:52,7367.89,7375.06,7367.89,7373.25
10:53,7372.81,7375.2,7372.21,7374.21
10:54,7374.41,7374.41,7370.37,7373.34
10:55,7373.35,7374.2,7369.2,7369.22
10:56,7369.09,7369.09,7367.27,7367.39
10:57,7367.85,7369.64,7366.1,7366.8
10:58,7366.89,7370.08,7366.59,7368.99
10:59,7369.46,7372.66,7369.46,7371.31
11:00,7371.3,7374.48,7367.87,7369.25
11:01,7369.5,7373.72,7368.46,7373.67
11:02,7374.02,7377.64,7373.86,7375.97
11:03,7376.09,7378.12,7375.09,7376.37
11:04,7376.29,7376.58,7373.92,7376.06
11:05,7376.34,7376.56,7369.86,7372.37
11:06,7372.24,7374.77,7372.24,7373.02
11:07,7372.49,7376.74,7372.26,7376.74
11:08,7376.51,7378.43,7375.87,7375.87
11:09,7375.35,7378.47,7374.96,7378.27
11:10,7378.58,7379.32,7375.89,7375.89
11:11,7375.48,7375.48,7368.44,7370.71
11:12,7370.62,7373.03,7370.26,7372.01
11:13,7372.1,7373.62,7370.62,7371.62
11:14,7371.3,7372.46,7368.79,7369.36
11:15,7369.45,7372.89,7368.24,7372.89
11:16,7372.79,7376.98,7371.82,7376.88
11:17,7376.62,7377.11,7373.08,7374.76
11:18,7374.91,7377.53,7374.86,7375.15
11:19,7375.09,7375.82,7368.57,7368.57
11:20,7368.51,7369.82,7367.25,7369.66
11:21,7369.67,7370.15,7367.66,7370.14
11:22,7370.2,7370.36,7367.3,7369.99
11:23,7370.03,7372.67,7370.03,7372.67
11:24,7372.7,7373.35,7370.4,7373.35
11:25,7373.22,7373.37,7369.71,7372.99
11:26,7372.77,7374.8,7367.53,7369.38
11:27,7369.37,7371.02,7367.85,7367.85
11:28,7367.82,7369.74,7367.5,7368.91
11:29,7368.81,7369.18,7366.29,7366.95
11:30,7367.06,7368.96,7366.09,7368.59
11:31,7368.54,7369.2,7366.88,7368.83
11:32,7369.78,7371.48,7369.05,7370.47
11:33,7370.23,7372.59,7368.69,7371.52
11:34,7371.19,7372.12,7367.16,7368.42
11:35,7368.38,7371.65,7367.59,7371.28
11:36,7371.32,7371.49,7369.22,7371.17
11:37,7371.17,7372.86,7369.42,7369.54
11:38,7369.64,7371.4,7367.07,7367.31
11:39,7367.43,7367.47,7363.25,7363.25
11:40,7363.17,7364.57,7362.64,7363.54
11:41,7363.57,7366.44,7363.48,7365.58
11:42,7365.59,7366.93,7362.67,7362.73
11:43,7362.81,7363.19,7360.24,7360.26
11:44,7360.4,7363.19,7360.4,7363.01
11:45,7362.83,7364.25,7360.62,7361.62
11:46,7361.82,7365.13,7361.82,7363.91
11:47,7363.8,7366.61,7363.58,7366.3
11:48,7366.11,7367.3,7365.03,7365.45
11:49,7365.39,7367.43,7364.64,7367.37
11:50,7367.36,7367.99,7364.84,7366.61
11:51,7366.33,7366.91,7365.07,7365.23
11:52,7365.37,7366.17,7364.06,7366.17
11:53,7366.43,7366.43,7362.31,7363.57
11:54,7363.51,7363.57,7357.83,7357.91
11:55,7357.61,7357.81,7354.22,7354.91
11:56,7355.08,7356.26,7353.61,7356.26
11:57,7356.18,7357.19,7355.72,7356.75
11:58,7356.71,7358.06,7355.72,7358.02
11:59,7358.0,7361.18,7357.9,7360.62
12:00,7360.3,7363.12,7356.86,7356.86
12:01,7356.88,7357.81,7354.06,7354.64
12:02,7354.83,7355.57,7353.59,7354.72
12:03,7354.68,7355.23,7353.67,7354.23
12:04,7354.17,7354.17,7350.48,7351.08
12:05,7351.04,7351.25,7345.62,7347.81
12:06,7347.69,7349.39,7346.79,7348.95
12:07,7348.78,7349.75,7347.5,7349.75
12:08,7349.59,7350.61,7348.52,7350.3
12:09,7350.22,7350.36,7348.19,7349.99
12:10,7350.16,7350.69,7349.19,7349.85
12:11,7349.79,7350.62,7347.72,7348.0
12:12,7348.18,7349.89,7348.04,7348.26
12:13,7348.2,7349.36,7347.37,7347.45
12:14,7347.6,7348.46,7343.53,7343.53
12:15,7343.39,7344.29,7341.25,7343.76
12:16,7343.76,7344.05,7341.94,7343.37
12:17,7343.41,7345.3,7342.35,7345.08
12:18,7344.96,7345.76,7343.51,7345.76
12:19,7345.63,7346.28,7344.98,7345.2
12:20,7345.18,7347.57,7344.19,7347.52
12:21,7347.86,7349.75,7347.86,7348.52
12:22,7348.45,7353.22,7348.45,7353.06
12:23,7353.04,7358.5,7352.8,7356.29
12:24,7356.25,7357.23,7354.69,7356.61
12:25,7356.61,7359.01,7356.61,7357.28
12:26,7357.25,7359.46,7356.0,7359.46
12:27,7359.43,7359.93,7358.26,7358.77
12:28,7358.84,7360.71,7357.48,7360.2
12:29,7360.31,7361.9,7360.2,7361.36
12:30,7361.34,7365.95,7360.81,7364.85
12:31,7364.8,7365.05,7361.74,7363.05
12:32,7363.18,7363.22,7359.53,7360.16
12:33,7359.98,7361.27,7359.48,7360.3
12:34,7360.49,7362.23,7357.65,7357.95
12:35,7357.84,7357.84,7354.53,7355.56
12:36,7355.6,7356.41,7353.34,7353.56
12:37,7353.62,7356.92,7353.62,7356.7
12:38,7356.59,7357.97,7355.56,7356.35
12:39,7356.37,7359.44,7356.37,7358.64
12:40,7358.77,7359.58,7356.26,7359.58
12:41,7359.49,7359.88,7356.72,7356.8
