time,open,high,low,close
09:30,7665.68,7678.16,7665.68,7673.38
09:31,7672.77,7673.8,7671.41,7672.64
09:32,7672.16,7674.75,7670.24,7671.37
09:33,7671.58,7672.03,7668.05,7669.11
09:34,7669.24,7671.7,7667.93,7668.04
09:35,7667.18,7667.96,7665.6,7667.62
09:36,7667.91,7668.97,7665.69,7667.81
09:37,7668.21,7670.9,7667.2,7670.9
09:38,7670.88,7670.97,7668.21,7669.44
09:39,7669.69,7669.69,7666.17,7669.44
09:40,7669.57,7671.73,7669.4,7669.95
09:41,7670.07,7671.96,7669.58,7669.58
09:42,7669.38,7671.93,7669.2,7669.87
09:43,7669.87,7670.11,7666.31,7666.98
09:44,7666.83,7671.02,7666.83,7670.21
09:45,7670.36,7672.81,7669.42,7671.05
09:46,7671.04,7672.23,7669.77,7671.02
09:47,7670.97,7671.66,7666.62,7667.77
09:48,7668.04,7669.75,7666.24,7666.24
09:49,7666.44,7668.31,7666.04,7668.31
09:50,7668.5,7671.26,7668.12,7669.7
09:51,7669.85,7670.62,7666.48,7666.78
09:52,7666.72,7666.85,7664.63,7664.63
09:53,7664.5,7666.72,7663.42,7663.42
09:54,7663.13,7663.13,7660.83,7662.94
09:55,7663.05,7664.84,7662.84,7662.84
09:56,7662.5,7666.57,7662.36,7666.13
09:57,7665.65,7665.66,7662.92,7664.14
09:58,7664.04,7664.43,7661.47,7664.27
09:59,7664.0,7666.5,7663.49,7664.24
10:00,7663.83,7667.85,7663.77,7666.85
10:01,7667.01,7667.68,7666.29,7666.6
10:02,7667.15,7667.15,7664.82,7664.82
10:03,7664.86,7667.42,7664.41,7666.06
10:04,7665.83,7668.35,7665.53,7668.01
10:05,7668.33,7672.04,7668.28,7672.04
10:06,7672.18,7673.96,7671.39,7672.65
10:07,7672.27,7673.22,7670.59,7671.09
10:08,7671.0,7673.28,7670.55,7673.1
10:09,7673.08,7673.08,7670.84,7671.5
10:10,7671.39,7673.15,7670.05,7672.77
10:11,7672.59,7672.64,7669.97,7671.07
10:12,7671.09,7671.09,7668.2,7668.32
10:13,7668.45,7669.19,7665.72,7666.37
10:14,7666.49,7666.74,7664.56,7665.64
10:15,7665.43,7668.11,7665.08,7667.83
10:16,7668.17,7668.33,7665.12,7668.25
10:17,7668.43,7668.68,7665.3,7666.72
10:18,7666.73,7667.18,7665.3,7665.39
10:19,7665.0,7666.05,7664.17,7664.56
10:20,7664.62,7665.7,7663.6,7665.24
10:21,7665.18,7665.2,7662.74,7664.57
10:22,7664.48,7669.78,7664.46,7668.91
10:23,7668.89,7669.22,7666.95,7669.0
10:24,7668.88,7670.59,7665.57,7666.07
10:25,7665.99,7668.75,7665.64,7668.07
10:26,7667.86,7669.29,7667.57,7668.28
10:27,7668.12,7669.41,7667.27,7668.16
10:28,7668.07,7669.24,7667.36,7668.14
10:29,7668.18,7668.39,7664.7,7665.1
10:30,7665.04,7666.84,7664.83,7665.98
10:31,7665.81,7666.6,7665.46,7666.46
10:32,7666.18,7666.68,7664.47,7665.43
10:33,7665.43,7666.7,7664.28,7664.28
10:34,7663.92,7665.54,7663.22,7663.22
10:35,7663.19,7663.5,7662.18,7662.18
10:36,7662.25,7663.37,7661.23,7661.57
10:37,7661.37,7662.04,7660.38,7661.34
10:38,7661.26,7663.19,7661.2,7663.17
10:39,7664.02,7664.5,7661.79,7661.89
10:40,7661.95,7663.8,7661.93,7663.54
10:41,7663.28,7663.28,7660.36,7660.45
10:42,7660.46,7662.31,7660.06,7661.62
10:43,7661.67,7666.67,7661.66,7666.26
10:44,7666.2,7666.21,7663.83,7664.8
10:45,7664.75,7666.01,7664.13,7665.64
10:46,7665.67,7668.2,7665.35,7668.09
10:47,7667.97,7668.08,7664.63,7665.42
10:48,7665.33,7667.45,7665.33,7667.11
10:49,7666.98,7668.61,7666.81,7668.39
10:50,7668.49,7669.55,7667.83,7669.05
10:51,7668.91,7669.13,7667.35,7668.18
10:52,7668.02,7670.58,7667.23,7670.0
10:53,7669.97,7671.23,7669.39,7669.51
10:54,7669.4,7669.66,7667.35,7668.49
10:55,7668.57,7671.66,7668.08,7671.49
10:56,7671.56,7673.62,7671.56,7673.57
10:57,7673.45,7674.7,7672.95,7673.9
10:58,7674.05,7675.13,7673.29,7674.92
10:59,7675.07,7676.7,7675.02,7676.69
11:00,7676.67,7679.23,7676.35,7678.92
11:01,7678.98,7679.38,7676.55,7676.55
11:02,7676.93,7677.59,7676.35,7676.35
11:03,7676.32,7679.96,7675.98,7679.86
11:04,7679.9,7681.63,7679.55,7680.86
11:05,7680.82,7681.05,7678.93,7679.49
11:06,7679.63,7682.07,7679.45,7680.17
11:07,7680.07,7681.23,7679.34,7679.69
11:08,7679.73,7680.66,7679.23,7679.43
11:09,7679.37,7679.37,7676.3,7676.3
11:10,7676.48,7676.9,7676.07,7676.12
11:11,7676.11,7678.43,7676.11,7677.61
11:12,7677.72,7678.31,7676.92,7677.7
11:13,7677.67,7677.84,7676.6,7677.72
11:14,7677.7,7677.7,7675.22,7675.24
11:15,7675.21,7677.31,7675.06,7675.8
11:16,7675.71,7676.2,7674.88,7674.91
11:17,7674.79,7675.41,7674.26,7674.91
11:18,7674.91,7675.65,7674.36,7674.42
11:19,7674.35,7674.87,7673.85,7674.37
11:20,7674.36,7675.06,7673.87,7674.21
11:21,7673.89,7675.52,7673.36,7675.03
11:22,7675.04,7676.92,7674.74,7676.53
11:23,7676.47,7676.92,7676.18,7676.45
11:24,7676.71,7677.28,7673.6,7673.86
11:25,7673.91,7674.26,7673.36,7673.73
11:26,7673.54,7675.76,7673.49,7675.72
11:27,7675.96,7677.46,7675.96,7676.92
11:28,7676.99,7678.74,7676.55,7678.74
11:29,7678.42,7678.7,7677.71,7677.97
11:30,7677.97,7678.53,7677.28,7677.67
11:31,7677.7,7678.68,7677.42,7677.43
11:32,7677.68,7680.59,7677.66,7680.59
11:33,7680.63,7681.53,7680.43,7681.37
11:34,7681.4,7683.67,7681.4,7683.67
11:35,7683.62,7684.31,7683.49,7684.16
11:36,7684.12,7686.32,7684.05,7686.12
11:37,7686.19,7687.63,7685.4,7685.57
