time,open,high,low,close
09:30,7751.74,7756.32,7749.87,7756.1
09:31,7755.46,7759.39,7754.34,7757.08
09:32,7757.21,7759.64,7756.48,7758.32
09:33,7757.79,7761.44,7756.18,7756.93
09:34,7756.03,7756.17,7748.42,7748.74
09:35,7749.48,7752.86,7748.67,7750.84
09:36,7751.49,7755.31,7751.48,7752.3
09:37,7751.98,7754.2,7750.09,7751.84
09:38,7751.94,7752.48,7750.02,7750.94
09:39,7751.15,7751.61,7749.22,7751.08
09:40,7751.72,7752.37,7748.89,7750.49
09:41,7750.7,7753.26,7749.48,7753.26
09:42,7753.47,7754.94,7752.53,7752.68
09:43,7753.11,7754.35,7751.67,7753.66
09:44,7754.08,7754.08,7751.51,7751.66
09:45,7751.5,7754.87,7751.09,7752.85
09:46,7752.91,7753.85,7751.97,7753.51
09:47,7753.65,7754.31,7752.04,7754.28
09:48,7754.26,7754.38,7752.8,7753.91
09:49,7754.12,7756.28,7754.12,7755.57
09:50,7755.94,7757.73,7752.2,7753.77
09:51,7753.89,7754.16,7751.15,7751.4
09:52,7751.37,7753.26,7748.97,7752.98
09:53,7752.99,7754.66,7751.66,7754.66
09:54,7754.88,7756.04,7754.13,7754.89
09:55,7754.95,7756.71,7753.57,7754.78
09:56,7754.26,7755.12,7753.27,7755.03
09:57,7755.18,7757.63,7754.72,7756.85
09:58,7756.94,7758.36,7756.71,7757.55
09:59,7757.49,7759.2,7756.66,7758.03
10:00,7758.33,7761.23,7757.99,7758.54
10:01,7758.9,7761.57,7758.0,7761.55
10:02,7761.55,7761.89,7760.47,7760.78
10:03,7760.81,7761.46,7759.7,7759.7
10:04,7759.62,7762.0,7759.03,7761.05
10:05,7760.76,7761.96,7760.3,7760.97
10:06,7760.85,7762.66,7760.85,7761.57
10:07,7761.63,7762.48,7761.29,7762.07
10:08,7761.96,7762.96,7761.59,7762.75
10:09,7762.3,7764.08,7761.53,7763.84
10:10,7763.73,7765.76,7763.61,7765.61
10:11,7765.6,7765.99,7762.99,7763.27
10:12,7763.21,7764.87,7762.84,7764.55
10:13,7764.63,7766.42,7764.25,7765.48
10:14,7765.68,7766.34,7764.91,7765.74
10:15,7765.77,7767.01,7764.76,7764.98
10:16,7765.58,7766.04,7764.82,7765.57
10:17,7765.44,7765.54,7764.79,7765.33
10:18,7765.26,7765.46,7763.3,7763.89
10:19,7764.18,7767.32,7764.18,7766.76
10:20,7766.67,7767.67,7766.66,7767.33
10:21,7767.24,7767.3,7766.2,7766.76
10:22,7766.8,7767.19,7765.06,7765.06
10:23,7764.98,7765.94,7763.46,7763.81
10:24,7763.61,7764.03,7762.03,7762.89
10:25,7762.76,7766.29,7761.56,7766.29
10:26,7766.14,7767.15,7764.14,7764.93
10:27,7764.84,7766.4,7764.69,7765.72
10:28,7765.56,7766.96,7765.19,7766.96
10:29,7766.91,7768.21,7765.76,7767.69
10:30,7767.64,7768.41,7766.69,7768.16
10:31,7767.9,7770.74,7767.85,7770.18
10:32,7769.92,7770.24,7769.42,7769.76
10:33,7769.97,7770.12,7768.2,7769.15
10:34,7768.88,7768.88,7766.69,7767.46
10:35,7767.44,7770.15,7767.44,7769.12
10:36,7768.96,7769.45,7768.21,7768.22
10:37,7768.09,7769.82,7767.98,7769.59
10:38,7769.74,7769.74,7767.13,7767.15
10:39,7767.1,7767.55,7765.53,7767.55
10:40,7767.28,7769.27,7766.64,7767.5
10:41,7767.55,7769.27,7767.26,7767.87
10:42,7768.01,7770.07,7767.17,7769.88
10:43,7769.77,7769.98,7768.6,7769.48
10:44,7769.61,7770.03,7768.53,7769.69
10:45,7769.51,7772.83,7769.51,7772.66
10:46,7772.95,7772.95,7771.3,7772.37
10:47,7772.21,7773.49,7772.17,7772.9
10:48,7772.93,7773.59,7772.56,7772.87
10:49,7772.9,7773.76,7772.26,7772.26
10:50,7772.39,7773.21,7771.56,7772.34
10:51,7772.07,7772.28,7769.65,7769.65
10:52,7769.79,7769.86,7766.99,7767.16
10:53,7767.11,7767.14,7762.12,7762.12
10:54,7761.9,7763.29,7760.62,7761.89
10:55,7761.75,7762.71,7760.86,7761.29
